year,vote_similarity,n_votes,trade_salience
1991,0.12857142857142856,70,0.3777682034291394
1992,0.14864864864864866,74,0.3796275643593738
1993,0.1746031746031746,63,0.3613597091102195
1994,0.2537313432835821,67,0.3438344902268932
1995,0.2307692307692308,78,0.3473428262229451
1996,0.28,75,0.3764653557743809
1997,0.2840909090909091,88,0.36465342342007434
1998,0.2345679012345679,81,0.34715548716944167
1999,0.2717391304347826,92,0.4405038998830619
2000,0.2857142857142857,77,0.4285564994711578
2001,0.2023809523809524,84,0.38956011741760865
2002,0.2233009708737864,103,0.380946655836244
2003,0.1797752808988764,89,0.3809171730505395
2004,0.07777777777777778,90,0.3593861495298757
2005,0.07526881720430108,93,0.35110800160400063
2006,0.11926605504587157,109,0.33447738472494215
2007,0.05319148936170213,94,0.30594519653988045
2008,0.15306122448979592,98,0.3347157195161395
2009,0.24390243902439024,82,0.34416597314109293
2010,0.2413793103448276,87,0.34508023042681335
2011,0.4329896907216495,97,0.32040047774138986
2012,0.32608695652173914,92,0.30507207194582664
2013,0.18032786885245905,61,0.2970818845213625
2014,0.22077922077922077,77,0.275280340073684
2015,0.2077922077922078,77,0.28564090285128524
2016,0.45045045045045046,111,0.2891356539154033
2017,0.2578125,128,0.27850458149036433
2018,0.14893617021276595,94,0.26257016826690466
2019,0.2,90,0.2781254333347796
